No.,自社タイトル,自社URL,自社公開,スパムチャンネル名,スパムチャンネルURL,スパム公開,スパム再生数,スパムタイトル,スパムURL,タイトル一致率
246,【スカッとする話】娘と18年間不倫していた夫「お前と離婚して娘と結婚するw」娘「パパのお嫁になるから出てけw」私「いいけど大丈夫？だってその人…」直後、2人は半狂乱にw,https://www.youtube.com/watch?v=Isn1R-6LWjk,9万回視聴 / 2 年前,Haylee Susan,https://www.youtube.com/channel/UCredgjqIO2e8_U4KAP1eBvQ,1 年前,0 回視聴,【スカッと】娘と18年間不倫していた夫「お前と離婚して娘と結婚するw」娘「パパのお嫁になるから出てけw」私「いいけど大丈夫？だってその人…」,https://www.youtube.com/watch?v=uaxIdi_nTig,92%
247,【スカッとする話】夫が突然ビールをぶっかけ、夫「俺のおかげで暮らせてる寄生虫が…文句あるなら離婚して出て行け！」私「わかりました…」3日後、夫からの鬼電を全無視した結果w,https://www.youtube.com/watch?v=Z7gS0PmgiuQ,2.6万回視聴 / 3 年前,Hbaban Nhabah habba,https://www.youtube.com/channel/UCfnTcUh0O5AzBBq4SK1XvOQ,2 年前,1 回視聴,【スカッとする話】夫が突然ビールをぶっかけ、夫「俺のおかげで暮らせてる寄生虫が…文句あるなら離婚して出て行け！」私「わかりました…」3日後、夫からの鬼電を全無視した結果w,https://www.youtube.com/watch?v=rOKkhwEKVAA,100%
248,【スカッとする話】18年間家賃を払ってきた私を罵倒する夫と連れ子「月10万の家賃程度で偉そうにw」夫「支払い止めてみろw」私「喜んで」3ヶ月後w,https://www.youtube.com/watch?v=IaHdv7dT6Sc,12万回視聴 / 2 年前,Heidi Judge,https://www.youtube.com/channel/UCUinF1LRXZ039lhfwhchH-A,2 年前,0 回視聴,【スカッとする話】18年間家賃を払ってきた私を罵倒する夫と連れ子「月10万の家賃程度で偉そうにw」夫「支払い止めてみろw」私「喜んで」→3ヶ月後w【修羅場】,https://www.youtube.com/watch?v=4FfLOEGkhg4,100%
249,【スカッとする話】私が余命半年と聞いて愛人と豪遊しはじめた夫「いつまで生きてるの？w」 私「余命なのはあなただよ？」後日、半狂乱の夫が...【修羅場】【スカッと】,https://www.youtube.com/watch?v=Tm9DKLFF30M,25万回視聴 / 3 年前,Heidi Judge,https://www.youtube.com/channel/UCUinF1LRXZ039lhfwhchH-A,1 年前,468回視聴,【スカッと感動】私が余命半年と聞いて愛人と豪遊しはじめた夫「いつまで生きてるの？w」 私「余命なのはあなただよ？」後日、半狂乱の夫が…,https://www.youtube.com/watch?v=sJIroWf5HmQ,100%
250,【スカッとする話】私名義の新築戸建と知らず里帰り出産で我が家に来た娘「母さんの部屋は私が使うw」夫「お前は車で寝てろw」私「わかりました...」→キレた私が家を売り払うと...w,https://www.youtube.com/watch?v=yefpSXnGZOg,15万回視聴 / 3 年前,Heidi Judge,https://www.youtube.com/channel/UCUinF1LRXZ039lhfwhchH-A,2 年前,0 回視聴,【スカッと感動】私名義の新築戸建と知らず里帰り出産で我が家に来た娘「母さんの部屋は私が使うw」夫「お前は車で寝てろw」私「わかりました   」→キレた私が家を売り払うとw【修羅場】,https://www.youtube.com/watch?v=0t-40raOuRA,100%
251,【スカッとする話】夫の出張中に息子に誘われ高級ホテルへディナーに行くと女性にプロポーズする夫「亡き妻と息子の分まで幸せにする！」直後、静かに席を立ち上がり求婚に乱入→私と息子「死んだ全家族です」,https://www.youtube.com/watch?v=-fE68tebmjk,7.2万回視聴 / 2 年前,Helen Chaney,https://www.youtube.com/channel/UCknZc7rOLWhfFlVN8PKKzGQ,2 年前,0 回視聴,【スカッとする話】夫の出張中に息子に誘われ高級ホテルへディナーに行くと女性にプロポーズする夫「亡き妻と息子の分まで幸せにする！」→直後、静かに席を立ち求婚に乱入「どうも、亡き妻と息子です」【修羅場】,https://www.youtube.com/watch?v=_IAxrzRiK5o,90%
252,【スカッとする話】娘の結婚式当日に夫がいない…私「何してるの？式始まってるよ！」夫「悪い、緊急の仕事が入って！」私「…OK」1時間後、ある人物から電話を受けた夫が半狂乱にw,https://www.youtube.com/watch?v=9x2mRPOpvjQ,7万回視聴 / 2 年前,Helen Chaney,https://www.youtube.com/channel/UCknZc7rOLWhfFlVN8PKKzGQ,2 年前,62回視聴,【スカッと】娘の結婚式当日に夫がいない…私「何してるの？式始まってるよ！」夫「悪い、緊急の仕事が入って！」私「OK」1時間後、ある人物から電話を受けた夫が半狂乱に,https://www.youtube.com/watch?v=VN4pcX92erg,100%
253,【スカッとする話】一緒に起業した私を裏切った親友「アンタの旦那と会社やるw」夫「売上と社員は貰うねw」63歳のおばちゃん「私は残ります」残ったのはパートのおばちゃんのみ...→その後、まさかの展開にw,https://www.youtube.com/watch?v=dAD2oL93V18,5.7万回視聴 / 2 年前,Hidalgo Jesus,https://www.youtube.com/channel/UCmHPxolrDN4OJyWrR31soAA,2 年前,2回視聴,【スカッとする話】一緒に起業した私を裏切った親友「アンタの旦那と会社やるw」夫「売上と社員は貰うねw」63歳のおばちゃん「私は残ります」残ったのはパートのおばちゃんのみ   →その後、まさかの,https://www.youtube.com/watch?v=zQ9OavjmL2c,98%
254,【スカッとする話】牛乳アレルギーの私に牛乳を飲ませ愛人と旅行に行った夫「計算おかしい！浮気したな！」私「違う、助けて...」放置され3日後→血相変えた夫から鬼電がw,https://www.youtube.com/watch?v=32PcmmzXwLY,4.2万回視聴 / 2 年前,Hidalgo Jesus,https://www.youtube.com/channel/UCmHPxolrDN4OJyWrR31soAA,2 年前,3回視聴,【スカッとする話】牛乳アレルギーの私に牛乳を飲ませ愛人と旅行に行った夫「計算おかしい！浮気したな！」私「違う、助けて   」放置され3日後→血相変えた夫から鬼電がw 1,https://www.youtube.com/watch?v=5i1G0TyWfOs,99%
255,【スカッとする話】私がローン20万払ってる二世帯住宅と知らず子供4人を連れて出戻ってきた夫の連れ子「ババァの部屋は私が使うw」義両親「クズ嫁は倉庫で生活しろｗ」キレた私が家を売り払い更地にすると...,https://www.youtube.com/watch?v=s0Ym0gxTLF4,2.9万回視聴 / 2 年前,Hidalgo Jesus,https://www.youtube.com/channel/UCmHPxolrDN4OJyWrR31soAA,2 年前,2回視聴,【スカッとする話】私がローン20万払ってる二世帯住宅と知らず子供4人を連れて出戻ってきた夫の連れ子「ババァの部屋は私が使うw」義両親「クズ嫁は倉庫で生活しろｗ」キレた私が家を売り払い更地にす,https://www.youtube.com/watch?v=MOLVHVpA7kE,99%
256,【スカッとする話】長男夫婦に初孫が生まれ出産祝いに行くと私だけカップ麺...長男嫁「家族の分しか無いですw」夫「...帰りますか」私「はい」直後、長男嫁に大惨事がw,https://www.youtube.com/watch?v=2bkFoDUO1Qo,15万回視聴 / 2 年前,Hidalgo Jesus,https://www.youtube.com/channel/UCmHPxolrDN4OJyWrR31soAA,2 年前,0 回視聴,【スカッとする話】長男夫婦に初孫が生まれ出産祝いに行くと私だけカップ麺   長男嫁「家族の分しか無いですw」夫「   帰りますか」私「はい」直後、長男嫁に大惨事がw,https://www.youtube.com/watch?v=jFXlACv0pLg,100%
257,【スカッとする話】長男嫁が出産し親族へのお披露目会へ行くと、長男嫁「他人は赤ん坊には触るな！」私「はーい」親族一同も他人なので永遠に他人扱いした結果w,https://www.youtube.com/watch?v=-iA0Yh4B6l8,11万回視聴 / 2 年前,Hidalgo Jesus,https://www.youtube.com/channel/UCmHPxolrDN4OJyWrR31soAA,2 年前,0 回視聴,【スカッとする話】長男嫁が出産し親族へのお披露目会へ行くと、長男嫁「他人は赤ん坊には触るな！」私「はーい」親族一同も他人なので永遠に他人扱いした結果w 1,https://www.youtube.com/watch?v=NvJ88cML0BQ,99%
258,【スカッとする話】私を捨て金持ちの愛人と再婚した元夫と再会すると、元夫「お前ら2人貧乏臭いぞw」愛人「年収500万の貧乏人は消えてw」→夫「500万は月収ですが？」元夫・愛人「は？」,https://www.youtube.com/watch?v=patHNGtYPXQ,8.7万回視聴 / 2 年前,Huelsdhq Deborawpr,https://www.youtube.com/channel/UChV202JJ5uNR-YfEG8kqqsA,1 年前,1 回視聴,【スカッとする話】私を捨て金持ちの愛人と再婚した元夫と再会すると、元夫「お前ら2人貧乏臭いぞw」愛人「年収500万の貧乏人は消えてw」→夫「500万は月収ですが？」元夫・愛人「は？」,https://www.youtube.com/watch?v=GjNBppm5Fg4,100%
259,【スカッとする話】私が余命半年と聞いて愛人と豪遊しはじめた夫「いつまで生きてるの？w」 私「余命なのはあなただよ？」後日、半狂乱の夫が...【修羅場】【スカッと】,https://www.youtube.com/watch?v=Tm9DKLFF30M,25万回視聴 / 3 年前,Hughes Davies,https://www.youtube.com/channel/UCES9PKKThNIdlUZQoLCckiQ,1 年前,1 回視聴,【スカッと感動】私が余命半年と聞いて愛人と豪遊しはじめた夫「いつまで生きてるの？w」 私「余命なのはあなただよ？」後日、半狂乱の夫,https://www.youtube.com/watch?v=F2RhrBFXbkQ,99%
260,【スカッとする話】私名義の新築戸建と知らず里帰り出産で我が家に来た娘「母さんの部屋は私が使うw」夫「お前は車で寝てろw」私「わかりました...」→キレた私が家を売り払うと...w,https://www.youtube.com/watch?v=yefpSXnGZOg,15万回視聴 / 3 年前,Hughes Davies,https://www.youtube.com/channel/UCES9PKKThNIdlUZQoLCckiQ,1 年前,0 回視聴,【スカッと感動】私名義の新築戸建と知らず里帰り出産で我が家に来た娘「母さんの部屋は私が使うw」夫「お前は車で寝てろw」私「わかりました   」→キレた私が家を売り払うと,https://www.youtube.com/watch?v=Qdui4CapWkw,100%
261,【スカッと】長男夫婦が正月に帰省し、長男嫁「高級寿司買ってきたけど家族分なので義母さんにはあげないのでw」夫「じゃあ今日で会うのは最後だ」長男嫁「え？最後？」,https://www.youtube.com/watch?v=2lmuqrtMxKM,11万回視聴 / 2 年前,Hung Quang,https://www.youtube.com/channel/UC5wM0zxEU-YsDx1NdpTnW1g,1 年前,0 回視聴,【スカッと】長男夫婦が正月に帰省し、長男嫁「高級寿司買ってきたけど家族分なので義母さんにはあげないのでw」夫「じゃあ今日で会うのは最後だ」長男嫁「え？最後？」【修羅場】,https://www.youtube.com/watch?v=ErUtWdZ_y7A,100%
262,【スカッとする話】婚約者を略奪した親友から結婚式の招待状が届くと、長男「嫁と2人で行ってくる」長男嫁「盛大に暴れてきます」普段温厚な長男夫婦が...w,https://www.youtube.com/watch?v=mLYItA9m_XY,9.8万回視聴 / 2 年前,Hung Quang,https://www.youtube.com/channel/UC5wM0zxEU-YsDx1NdpTnW1g,2 年前,0 回視聴,【スカッと】私の婚約者を略奪した親友から結婚式の招待状が届くと、長男「嫁と2人で行ってくる」長男嫁「盛大に暴れてきますねw」普段温厚な長男夫婦が…w【修羅場】,https://www.youtube.com/watch?v=2dTRWIeLhIY,97%
263,【スカッとする話】11年育てた連れ子の息子が医大に合格すると、連れ子「他人のくせに母親ぶるなw」私「は？お前こそ息子ぶるなよ…」入学費と仕送りを即停止し永久に他人扱いした結果w,https://www.youtube.com/watch?v=uja6sG8362w,2.4万回視聴 / 1 年前,Huong Nguyen,https://www.youtube.com/channel/UC_Apu0cy8FkXKDbBjFR3B0A,7 か月前,1 回視聴,11年育てた連れ子「医大受かったw 他人のくせに母親ぶるなw」私「は？お前こそ息子ぶるなよw」学費と仕送りを即停止し永久に他人扱いした結果w | スカッとする話 | 朗読 | 因果応報 | 泥沼,https://www.youtube.com/watch?v=5WOqiBpGKQw,75%
264,【スカッとする話】産婦人科で再会した元夫「俺の子？認知の子はしねぇよw」元義母「復縁要求はやめてねw」私「そんなことしないwだって…」直後、2人は震えだし…w【朗読】【スカッと】,https://www.youtube.com/watch?v=-TmKVAFTUIo,3.8万回視聴 / 9 か月前,Hutamaru Channel,https://www.youtube.com/channel/UC3ql7nj448YetYa6AvQ-_CQ,6 か月前,"14,199回視聴",【スカッとする話】産婦人科で再会した元夫「俺の子？認知の子はしねぇよw」元義母「復縁要求はやめてねw」私「そんなことしないwだって…」直後、2人は震えだし…w【朗読】【スカッと】,https://www.youtube.com/watch?v=65IyEZhLqOQ,100%
265,【スカッとする話】自ら命を絶った夫が亡くなり1週間後、私宛に夫から手紙が届いた...手紙「両親に見つからず読んでくれ」そこに記された場所に行き同封の鍵でコインロッカーを開けると...,https://www.youtube.com/watch?v=9kcEIi88egw,23万回視聴 / 2 年前,Hưng Nguyễn,https://www.youtube.com/channel/UCwc17qijn-2UxFMDeJw0ZyA,1 年前,0 回視聴,【スカッと】自ら命を絶った夫が亡くなり1週間後、私宛に夫から手紙が届いた…手紙「両親に見つからず読んでくれ」そこに記された場所に行き同封の鍵でコインロッカーを開けると【修羅場】,https://www.youtube.com/watch?v=c_JveHYjrAY,100%
266,【スカッとする話】深夜に母が倒れ夫と病院へ...私「急いで車出して！」夫「...はーい」だが、なぜか道中の海岸で置き去りに、夫「俺様に命令した罰だw」3時間後、病院に着くと血だらけの夫がw,https://www.youtube.com/watch?v=OaIj_8vvCdo,2.8万回視聴 / 2 年前,IMNOTAf888INGGOODBOY,https://www.youtube.com/channel/UCsyx4KopGhzGibj2qgsi_og,2 年前,"1,473回視聴",【スカッとする話】深夜に母が倒れ夫と病院へ...私「急いで車出して！」夫「...はーい」だが、なぜか道中の海岸で置き去りに、夫「俺様に命令した罰だw」3時間後、病院に着くと血だらけの夫がw,https://www.youtube.com/watch?v=OAQ5RmDf6OE,100%
267,【スカッとする話】家のローン毎月18万払い続けている私に夫「家と車は長男夫婦に相続する！」長男嫁「ババァは施設でも行けw」私「はーい（覚悟しろよ）」家を売却し更地にした結果w【スカッと】【朗読】,https://www.youtube.com/watch?v=StScq4cRqfc,12万回視聴 / 2 年前,Irene Murphy,https://www.youtube.com/channel/UC5JVl0EBLYR1bUruH4-y5ZQ,1 年前,0 回視聴,【スカッとする話】家のローン毎月18万払い続けている私に夫「家と車は長男夫婦に相続する！」長男嫁「ババァは施設でも行けw」私「はーい（覚悟しろよ）」家を売却し更地にした結果w【スカッと】【朗,https://www.youtube.com/watch?v=NVqLAtJG4N4,98%
268,【スカッと総集編】家のローン毎月18万払い続けている私に夫「家と車は長男夫婦に相続する」長男嫁「ババァは施設行けw」私「はーい（覚悟しろよ）」【スカッと】【朗読】【シニア】,https://www.youtube.com/watch?v=zcG7NOTbO5U,2.5万回視聴 / 11 か月前,Irene Murphy,https://www.youtube.com/channel/UC5JVl0EBLYR1bUruH4-y5ZQ,1 年前,0 回視聴,【スカッとする話】家のローン毎月18万払い続けている私に夫「家と車は長男夫婦に相続する！」長男嫁「ババァは施設でも行けw」私「はーい（覚悟しろよ）」家を売却し更地にした結果w【スカッと】【朗,https://www.youtube.com/watch?v=NVqLAtJG4N4,86%
269,【スカッとする話】18年間家賃を払ってきた私を罵倒する長男嫁「月9万の家賃程度で偉そうにw母親づらすんなよババァがw」長男「支払い止めてみろw」私「喜んで！」結果w,https://www.youtube.com/watch?v=gWWRbmvBG_A,3.4万回視聴 / 1 年前,ItsDabestTV,https://www.youtube.com/channel/UC7MuHVZzBSqOMtfuirZ-_Bw,1 年前,0 回視聴,スカッとする話】18年間家賃を払ってきた私を罵倒する長男嫁「月9万の家賃程度で偉そうにw母親づらすんなよババァがw」長男「支払い止めてみろw」私「喜んで！」結果w,https://www.youtube.com/watch?v=oJ6lKaAqBC4,94%
270,【スカッとする話】私が年商1500億の社長と知らず父の葬儀が終わった途端に豹変した夫「遺産は全部俺のw嫌なら離婚w」即離婚届を提出し夫の勤め先へ→私「全取引中止で」,https://www.youtube.com/watch?v=v6KeZkHFU7k,1.6万回視聴 / 1 年前,ItsDabestTV,https://www.youtube.com/channel/UC7MuHVZzBSqOMtfuirZ-_Bw,1 年前,0 回視聴,スカッとする話】私が年商1500億の社長と知らず父の葬儀が終わった途端に豹変した夫「遺産は全部俺のw嫌なら離婚w」即離婚届を提出し夫の勤め先へ→私「全取引中止で」,https://www.youtube.com/watch?v=imVqUixlRWM,94%
271,【スカッとする話】私が役員報酬で家計を支えていると知らず夫と引越した義母「月100万の息子にお前は不釣り合いw」義父「家政婦するなら住所教えるぞw」→私「では日給100円の夫は返品で」,https://www.youtube.com/watch?v=BO5_p_027rc,3.2万回視聴 / 1 年前,ItsDabestTV,https://www.youtube.com/channel/UC7MuHVZzBSqOMtfuirZ-_Bw,1 年前,0 回視聴,スカッとする話】私が役員報酬で家計を支えていると知らず夫と引越した義母「月100万の息子にお前は不釣り合いw」義父「家政婦するなら住所教えるぞw」→私「では日給100円の夫は返品で,https://www.youtube.com/watch?v=Jw_GaBy_ZJQ,95%
272,【スカッと総集編】35年連れ添った夫に愛人がいるのが発覚し離婚。義父「2日以内に引越せw」夫「ゴミ一つ残すなw」30分後、高級車が家に停車し→弟「姉ちゃん！迎えに来たよ！」,https://www.youtube.com/watch?v=NCNTWPZBfMA,7.3万回視聴 / 1 年前,ItsDabestTV,https://www.youtube.com/channel/UC7MuHVZzBSqOMtfuirZ-_Bw,1 年前,0 回視聴,スカッと総集編】35年連れ添った夫に愛人がいるのが発覚し離婚。義父「2日以内に引越せw」夫「ゴミ一つ残すなw」30分後、高級車が家に停車し→弟「姉ちゃん！迎えに来たよ！,https://www.youtube.com/watch?v=ykF_GwSeR_U,94%
273,【スカっとする話】長男の結婚式でなぜか私だけ席が無い。長男嫁「中卒の席はないわw」二人が勤める病院の院長が挨拶で私に「あなたのおかげで今の病院があります」→直後、長男嫁は全てを失う結果にw【修羅場】,https://www.youtube.com/watch?v=Rp0Fun6cuJA,1.4万回視聴 / 3 年前,Ivan Ilencow,https://www.youtube.com/channel/UC6IzQHpKzqIt1DgjPouEefQ,2 年前,0 回視聴,【スカっとする話】長男の結婚式でなぜか私だけ席が無い。長男嫁「中卒の席はないわw」二人が勤める病院の院長が挨拶で私に「あなたのおかげで今の病院があります」→直後、長男嫁は全てを失う結果にw,https://www.youtube.com/watch?v=3nZkkjGDjow,100%
274,【スカッとする話】勝手に我が家の庭でバーベキューをする長男嫁「お義母さんの家の庭借りてるよw肉とビール無いから買ってきてw」私「え？私の家そこじゃないわよ？」長男嫁「え？」,https://www.youtube.com/watch?v=ik5Oxry7o0g,3.1万回視聴 / 3 年前,Ivan Ilencow,https://www.youtube.com/channel/UC6IzQHpKzqIt1DgjPouEefQ,2 年前,0 回視聴,【スカッとする話】勝手に我が家の庭でバーベキューをする長男嫁「お義母さんの家の庭借りてるよw肉とビール無いから買ってきてw」私「え？私の家そこじゃないわよ？」長男嫁「え？」,https://www.youtube.com/watch?v=IZLbdwBj7XA,100%
275,【スカッとする話】天才外科女医である事を隠して生きてきた私。ある日、娘に連れられイチゴ狩りに行くとおばちゃんが倒れ緊急搬送！医者「この手術は私には無理だ…」緊急事態発生し…,https://www.youtube.com/watch?v=Zq9eORdDdX8,2.3万回視聴 / 3 年前,Ivan Ilencow,https://www.youtube.com/channel/UC6IzQHpKzqIt1DgjPouEefQ,2 年前,0 回視聴,【スカッとする話】天才外科女医である事を隠して生きてきた私。ある日、娘に連れられイチゴ狩りに行くとおばちゃんが倒れ緊急搬送！医者「この手術は私には無理だ…」緊急事態発生し…,https://www.youtube.com/watch?v=wud3iM-gqm0,100%
276,【スカッとする話】夫の海外出張前夜、ファミレスに行くと夫と長男嫁が。夫「今夜が日本での最後の食事だな」長男嫁「夫さんとの二人で海外暮らし楽しみｗ」→面白い会話が聞こえたので先手を打つと...ｗ,https://www.youtube.com/watch?v=UUTOHlp0M4c,2.2万回視聴 / 3 年前,Ivan Ilencow,https://www.youtube.com/channel/UC6IzQHpKzqIt1DgjPouEefQ,2 年前,0 回視聴,【スカッとする話】夫の海外出張前夜、ファミレスに行くと夫と長男嫁が。夫「今夜が日本での最後の食事だな」長男嫁「夫さんとの二人で海外暮らし楽しみｗ」→面白い会話が聞こえたので先手を打つと...ｗ,https://www.youtube.com/watch?v=xPe3noo1jfQ,100%
277,【スカッとする話】妊婦の私が倒れて入院するとワインをぶっかけ海外旅行に行く夫「帰るまでに産んでおけよ！」無視した私に夫がワインを投げるも当たって失神したのは...【修羅場】【スカッと】,https://www.youtube.com/watch?v=CTeggEwk2Nc,2.8万回視聴 / 3 年前,Ivan Ilencow,https://www.youtube.com/channel/UC6IzQHpKzqIt1DgjPouEefQ,2 年前,2回視聴,【スカッとする話】妊婦の私が倒れて入院するとワインをぶっかけ海外旅行に行く夫「帰るまでに産んでおけよ！」無視した私に夫がワインを投げるも当たって失神したのは...,https://www.youtube.com/watch?v=9GauLOUX3QM,100%
278,【スカッとする話】我が家が全焼し現場確認に行くと、長男嫁と夫が何かを探している....声をかけようとすると長男嫁と夫の恐ろしい会話が聞こえてきて→慌てて警察に通報した結果【修羅場】,https://www.youtube.com/watch?v=p1aAa-lOrzg,3.7万回視聴 / 3 年前,Ivan Ilencow,https://www.youtube.com/channel/UC6IzQHpKzqIt1DgjPouEefQ,2 年前,0 回視聴,【スカッとする話】我が家が全焼し現場確認に行くと、長男嫁と夫が何かを探している....声をかけようとすると長男嫁と夫の恐ろしい会話が聞こえてきて→慌てて警察に通報した結果,https://www.youtube.com/watch?v=DpE46mRFpIw,100%
279,【スカッとする話】私が社員900人の社長と知らず私の親友を妊娠させ再婚した夫「病気持ちの貧乏人とは離婚ｗ」退院後、真っ先に夫の勤め先へ。私「全取引を停止で」夫「は？」,https://www.youtube.com/watch?v=hhT_cSBqCts,6万回視聴 / 3 年前,Ivan Ilencow,https://www.youtube.com/channel/UC6IzQHpKzqIt1DgjPouEefQ,2 年前,3回視聴,【スカッとする話】私が社員900人の社長と知らず私の親友を妊娠させ再婚した夫「病気持ちの貧乏人とは離婚ｗ」退院後、真っ先に夫の勤め先へ。私「全取引を停止で」夫「は？」,https://www.youtube.com/watch?v=NF3p6kjJQmw,100%
280,【スカッとする話】私名義でローン5000万を残し私の親友と失踪した夫「貧乏で家売ったらしいなw」私「地価上昇2億で売れたよ」夫「は？」結果w,https://www.youtube.com/watch?v=R5Nl5gypj8M,2.7万回視聴 / 3 年前,Ivan Ilencow,https://www.youtube.com/channel/UC6IzQHpKzqIt1DgjPouEefQ,2 年前,0 回視聴,【スカッとする話】私名義でローン5000万を残し私の親友と失踪した夫「貧乏で家売ったらしいなw」私「地価上昇2億で売れたよ」夫「は？」結果w,https://www.youtube.com/watch?v=8mFT78LkY_o,100%
281,【スカッとする話】長男夫婦と同居する事になり長男と長男嫁と新築の見学へ行くと、なぜか私だけ強制的に別室に案内された。不動産「今すぐ警察に行って下さい...」明かされた衝撃の事実を知り…,https://www.youtube.com/watch?v=a5jUE4NP1Qo,3.8万回視聴 / 3 年前,Ivan Ilencow,https://www.youtube.com/channel/UC6IzQHpKzqIt1DgjPouEefQ,2 年前,0 回視聴,【スカッとする話】長男夫婦と同居する事になり長男と長男嫁と新築の見学へ行くと、なぜか私だけ強制的に別室に案内された。不動産「今すぐ警察に行って下さい...」明かされた衝撃の事実を知り…,https://www.youtube.com/watch?v=9u_E5KiGi8E,100%
282,【スカッとする話】親族の集まりでエリート夫「嫁の飯はまずいんだよなw」私「え？私の料理食べた事ある？食事はいつも愛人宅じゃないの」義父「は？」義両親がブチギレ...,https://www.youtube.com/watch?v=GZtalGoS6qE,11万回視聴 / 3 年前,Jackson Campbell,https://www.youtube.com/channel/UC_PWzQFu6GkdO0Rafe9EZgw,2 年前,0 回視聴,【スカッと感動】親族の集まりでエリート夫「嫁の飯はまずいんだよなw」私「え？私の料理食べた事ある？食事はいつも愛人宅じゃないの」義父「は？」義両親がブチギレ,https://www.youtube.com/watch?v=5PPMa_JFKvQ,100%
283,【スカッと総集編】家のローン月18万を払ってると知らず同居の長男嫁に1年間無視された...ある日、私「あれ？なんで私の荷物が...」長男嫁「キレイにしておいてあげたw」私の荷物を勝手に捨てられた,https://www.youtube.com/watch?v=bPcGySAd3gA,20万回視聴 / 2 年前,Jackson Campbell,https://www.youtube.com/channel/UC_PWzQFu6GkdO0Rafe9EZgw,2 年前,15回視聴,【スカッと感動】家のローン月18万を払ってると知らず同居の長男嫁に1年間無視された   ある日、私「あれ？なんで私の荷物が   」長男嫁「キレイにしておいてあげたw」私の荷物を勝手に捨てられ,https://www.youtube.com/watch?v=I-zS8aHf2vU,99%
284,【スカッとする話】夫「来月ママが引っ越してくる！お前の部屋片付けておけw」私「はーい、キレイにしておくね」夫の出張中に不動産屋に連絡し家を売り払いキレイに更地にした結果w,https://www.youtube.com/watch?v=vyDCAcHPme8,8.6万回視聴 / 2 年前,Jaeden Reese,https://www.youtube.com/channel/UCemzpqyF3E2deF1Dm-8PEYA,1 年前,0 回視聴,【スカッとする話】夫「来月ママが引っ越してくる！お前の部屋片付けておけw」私「はーい、キレイにしておくね」夫の出張中に不動産屋に連絡し家を売り払いキレイに更地にした結果w【修羅場】,https://www.youtube.com/watch?v=5QCeGKn6rik,100%
285,【スカッと】夫が不倫し残された息子を育てて19年。息子が結婚し子供が生まれると息子「偽者の親が俺の子に触るなw」直後、息子嫁が血相を変え→息子嫁「あなた知らないの？」,https://www.youtube.com/watch?v=CXYugbzMfW4,8.3万回視聴 / 2 年前,Jaitai Btisto,https://www.youtube.com/channel/UCbO4rHwFOXVdYsKKbUHQmkg,1 年前,1 回視聴,【スカッと】夫が不倫し残された息子を育てて19年。息子が結婚し子供が生まれると息子「偽者の親が俺の子に触るなw」直後、息子嫁が血相を変え→息子嫁「あなた知らないの？」,https://www.youtube.com/watch?v=s0AzTkaB1bw,100%
286,【スカッとする話】私の夫が亡くなった途端、家を勝手に解体した義両親「嫁は我が家で家政婦しなw」それを聞いた私は大爆笑→私「私は独身ですが？w」実は...,https://www.youtube.com/watch?v=cnVie20jJ4w,4.8万回視聴 / 2 年前,Jaitai Btisto,https://www.youtube.com/channel/UCbO4rHwFOXVdYsKKbUHQmkg,1 年前,0 回視聴,【スカッとする話】私の夫が亡くなった途端、家を勝手に解体した義両親「嫁は我が家で家政婦しなw」それを聞いた私は大爆笑→私「私は独身ですが？w」実は,https://www.youtube.com/watch?v=WlW75MRAHvc,100%
287,【スカッとする話】私が夫の入院費を払ってると知らず私の荷物を全て捨てた夫の連れ子「もうパパに寄生するなw」連れ子を残し1億のタワマンに引越し入院費の支払いも止めた結果w,https://www.youtube.com/watch?v=JaGjTAkTfxQ,30万回視聴 / 2 年前,JakubSarna,https://www.youtube.com/channel/UC6wXk_AiXfdRVdkdi5aNGgw,9 か月前,1 回視聴,私が夫の入院費を払ってると知らず私の荷物を全て捨てた夫の連れ子「もうパパに寄生するなw」→連れ子を残し1億のタワマンに引っ越し入院費の支払いも止めた結果ｗ,https://www.youtube.com/watch?v=1VOME_eHNt8,99%
288,【スカッと】365日間、私を無視し続けた年収1000万の夫「誰のおかげで生きてると思ってる！文句あるなら離婚して出てけw」私「後悔しない？」夫「しねぇよw」3日後、夫は会社をクビにw,https://www.youtube.com/watch?v=Mi69PEXjWFc,3.5万回視聴 / 2 年前,Jamison Abraham,https://www.youtube.com/channel/UCcUsK23eqHw3ZQA5HjspM9Q,1 年前,0 回視聴,【スカッと】365日間、私を無視し続けた年収1000万の夫「誰のおかげで生きてると思ってる！文句あるなら離婚して出てけw」私「後悔しない？」夫「しねぇよw」3日後、夫は会社をクビに,https://www.youtube.com/watch?v=Nududo1BLfA,100%
289,【スカッと】私が総資産19億と知らず子供の産めない私を捨て再婚した夫「欠陥品とは離婚ｗ家と車も俺が貰うｗ」私「いいよ！ 」→翌日、涙を流した夫から鬼電がw,https://www.youtube.com/watch?v=CNsn701Em6g,4.1万回視聴 / 2 年前,Jamison Abraham,https://www.youtube.com/channel/UCcUsK23eqHw3ZQA5HjspM9Q,1 年前,0 回視聴,【スカッと】私が総資産19億と知らず子供の産めない私を捨て再婚した夫「欠陥品とは離婚ｗ家と車も俺が貰うｗ」私「いいよ！ 」→翌日、涙を流した夫から鬼電が,https://www.youtube.com/watch?v=y8x7SoRM9mk,100%
